transaction_id,account_id,amount
TRX_100000,ACC_013,247.18003188842363
TRX_100001,ACC_007,
TRX_100002,ACC_017,3958.7730060931467
TRX_100003,ACC_006,246.98144734312132
TRX_100004,ACC_011,
TRX_100005,ACC_014,210.61656373481634
TRX_100006,ACC_012,763.5640067396018
TRX_100007,ACC_005,222.91836735928442
TRX_100008,ACC_009,100.52844807180976
TRX_100009,ACC_007,131.77413811391884
TRX_100010,ACC_017,208.14750219199675
TRX_100011,ACC_010,222.15380909856898
TRX_100012,ACC_002,196.51615974906284
TRX_100013,ACC_007,308.3850981247297
TRX_100014,ACC_018,14.763908753826557
TRX_100015,ACC_005,233.51691817726444
TRX_100016,ACC_013,178.00725382081174
TRX_100017,ACC_007,22.858411959909162
TRX_100018,ACC_003,45.16059608284719
TRX_100019,ACC_015,411.1095066298451
TRX_100020,ACC_016,285.14729368074273
TRX_100021,ACC_005,295.10885233632564
TRX_100022,ACC_005,410.22624572072107
TRX_100023,ACC_015,665.797245924716
TRX_100024,ACC_010,214.24885567162565
TRX_100025,ACC_007,790.2353978189311
TRX_100026,ACC_007,66.26475813595269
TRX_100027,ACC_015,211.12464452660504
TRX_100028,ACC_015,176.113338243679
TRX_100029,ACC_004,179.516084047888
TRX_100030,ACC_017,488.40203470185514
TRX_100031,ACC_009,207.8930304781394
TRX_100032,ACC_009,202.6914590597363
TRX_100033,ACC_010,
TRX_100034,ACC_009,146.13436555162804
TRX_100035,ACC_010,
TRX_100036,ACC_001,163.26711944514605
TRX_100037,ACC_007,236.26559706054996
TRX_100038,ACC_012,135.4128800437606
TRX_100039,ACC_007,362.0212758880965
TRX_100040,ACC_015,425.7109044708541
TRX_100041,ACC_001,170.32067476528388
TRX_100042,ACC_017,82.45385190147034
TRX_100043,ACC_017,368.9077604417788
TRX_100044,ACC_012,74.27371741869253
TRX_100045,ACC_014,66.08204158836787
TRX_100046,ACC_018,8.306311363137095
TRX_100047,ACC_012,281.8434050117628
TRX_100048,ACC_017,78.8234552300415
TRX_100049,ACC_015,1669.9013010973554
TRX_100050,ACC_006,303.01453945010616
TRX_100051,ACC_015,18221.83908426889
TRX_100052,ACC_006,186.88308110145633
TRX_100053,ACC_014,164.6460974993434
TRX_100054,ACC_017,106.38104498379829
TRX_100055,ACC_006,353.8778594365349
TRX_100056,ACC_018,20.009308028261408
TRX_100057,ACC_017,252.52626745374738
TRX_100058,ACC_013,433.55272169876156
TRX_100059,ACC_001,26.180854520125845
TRX_100060,ACC_015,205.81108206682768
TRX_100061,ACC_020,117.86223492331965
TRX_100062,ACC_013,341.3691955661133
TRX_100063,ACC_009,126.28349059690254
TRX_100064,ACC_017,114.93061941085458
TRX_100065,ACC_011,187.3106279986648
TRX_100066,ACC_008,349.2326563523553
TRX_100067,ACC_007,343.0858430448409
TRX_100068,ACC_008,169.77538100942928
TRX_100069,ACC_015,459.70960760718475
TRX_100070,ACC_003,57.758880642968016
TRX_100071,ACC_006,38.29781336177182
TRX_100072,ACC_014,271.8881216161245
TRX_100073,ACC_006,33.12770635584718
TRX_100074,ACC_005,460.16982905237904
TRX_100075,ACC_004,183.8194692366536
TRX_100076,ACC_014,624.9369201437412
TRX_100077,ACC_019,11.700591423179365
TRX_100078,ACC_017,393.9467941973972
TRX_100079,ACC_010,85.56303386053875
TRX_100080,ACC_002,486.2912330163061
TRX_100081,ACC_009,51.13060779282967
TRX_100082,ACC_017,473.19436085946245
TRX_100083,ACC_010,389.5601052642701
TRX_100084,ACC_005,90.98340955223158
TRX_100085,ACC_014,137.85961393119678
TRX_100086,ACC_007,543.9756646761194
TRX_100087,ACC_005,478.7152146265962
TRX_100088,ACC_010,41.82134336009833
TRX_100089,ACC_001,561.6438149916844
TRX_100090,ACC_016,339.0162141569598
TRX_100091,ACC_016,98.42535499766151
TRX_100092,ACC_001,194.4549890368784
TRX_100093,ACC_015,167.13823798264454
TRX_100094,ACC_002,194.92972235773092
TRX_100095,ACC_010,322.256965087244
TRX_100096,ACC_015,
TRX_100097,ACC_008,26.015059421165983
TRX_100098,ACC_014,53.53470616248413
TRX_100099,ACC_007,297.5512232502221
TRX_100100,ACC_016,442.942174301177
TRX_100101,ACC_003,212.1168842026639
TRX_100102,ACC_005,150.42352066140984
TRX_100103,ACC_004,365.341672800904
TRX_100104,ACC_015,436.7764392677825
TRX_100105,ACC_019,17.476658249618506
TRX_100106,ACC_017,464.6890509399663
TRX_100107,ACC_008,239.26114887919175
TRX_100108,ACC_016,258.6871725322436
TRX_100109,ACC_016,84.40658499575265
TRX_100110,ACC_019,36.94866606429622
TRX_100111,ACC_012,462.6266047015856
TRX_100112,ACC_013,431.16729917210375
TRX_100113,ACC_017,32.30663592661223
TRX_100114,ACC_014,105.33851139199355
TRX_100115,ACC_005,197.30308082326036
TRX_100116,ACC_004,168.29762996425828
TRX_100117,ACC_001,116.89110323671659
TRX_100118,ACC_007,540.5631086458789
TRX_100119,ACC_008,77.26011329003138
TRX_100120,ACC_004,
TRX_100121,ACC_002,83.39509320846469
TRX_100122,ACC_001,46.743039015523514
TRX_100123,ACC_013,75.50641683521486
TRX_100124,ACC_016,357.87121434041774
TRX_100125,ACC_016,12950.279338536933
TRX_100126,ACC_009,113.13758598568107
TRX_100127,ACC_015,294.78391722020956
TRX_100128,ACC_017,167.44299464927326
TRX_100129,ACC_015,132.3841246449935
TRX_100130,ACC_001,96.11480645971004
TRX_100131,ACC_012,134.37750467160126
TRX_100132,ACC_015,156.01945154663247
TRX_100133,ACC_011,756.382372349752
TRX_100134,ACC_012,173.74509535814073
TRX_100135,ACC_003,199.6613237856536
TRX_100136,ACC_006,305.34217532924987
TRX_100137,ACC_001,153.64946215354786
TRX_100138,ACC_008,233.50411060959897
TRX_100139,ACC_006,254.36085056185433
TRX_100140,ACC_011,24.84917758761941
TRX_100141,ACC_011,314.82006542370124
TRX_100142,ACC_008,87.17655890219544
TRX_100143,ACC_002,489.579577254744
TRX_100144,ACC_005,107.15540770010854
TRX_100145,ACC_001,83.83217977007256
TRX_100146,ACC_014,174.19718191345527
TRX_100147,ACC_009,11.535898424802701
TRX_100148,ACC_008,152.58169808050127
TRX_100149,ACC_015,209.6043690291836
TRX_100150,ACC_016,56.405278311323265
TRX_100151,ACC_008,412.7340682772812
TRX_100152,ACC_007,963.8638498221235
TRX_100153,ACC_003,357.0107430542704
TRX_100154,ACC_007,143.68303830223178
TRX_100155,ACC_010,160.5727100470569
TRX_100156,ACC_013,493.1346537425508
TRX_100157,ACC_004,308.36150025857717
TRX_100158,ACC_008,439.90789060487555
TRX_100159,ACC_004,577.0440728419445
TRX_100160,ACC_008,163.90960499990655
TRX_100161,ACC_006,95.99005983168513
TRX_100162,ACC_008,111.35713970662107
TRX_100163,ACC_003,292.2758540216309
TRX_100164,ACC_019,5.621985983594626
TRX_100165,ACC_009,186.12402065339705
TRX_100166,ACC_010,318.4651668191306
TRX_100167,ACC_003,86.40043571550635
TRX_100168,ACC_017,494.1281813389941
TRX_100169,ACC_015,10012.532544570484
TRX_100170,ACC_010,580.2621980853363
TRX_100171,ACC_004,576.4107573457558
TRX_100172,ACC_001,157.58377092772443
TRX_100173,ACC_017,99.53042142940451
TRX_100174,ACC_019,81.06416144751215
TRX_100175,ACC_019,5.998674291023931
TRX_100176,ACC_008,253.1985724371824
TRX_100177,ACC_017,359.1943151646068
TRX_100178,ACC_010,133.73199211430764
TRX_100179,ACC_008,258.14574141129793
TRX_100180,ACC_003,275.78236319762505
TRX_100181,ACC_001,645.2526950152427
TRX_100182,ACC_014,11.400221972194965
TRX_100183,ACC_016,642.6485713177731
TRX_100184,ACC_004,236.5633377267682
TRX_100185,ACC_015,698.9234012104339
TRX_100186,ACC_006,160.07351241995164
TRX_100187,ACC_013,535.1996130548151
TRX_100188,ACC_017,173.45539615495883
TRX_100189,ACC_017,330.41284415321365
TRX_100190,ACC_017,95.95159934470159
TRX_100191,ACC_010,108.83195668813745
TRX_100192,ACC_013,305.6860801679597
TRX_100193,ACC_004,72.64207949855893
TRX_100194,ACC_010,100.34339793812319
TRX_100195,ACC_014,397.55823673139264
TRX_100196,ACC_017,
TRX_100197,ACC_015,169.54103522831065
TRX_100198,ACC_005,419.9332274027846
TRX_100199,ACC_016,138.72117882903046
TRX_100200,ACC_011,158.35568075559289
TRX_100201,ACC_017,441.21699149948824
TRX_100202,ACC_009,159.7550347718999
TRX_100203,ACC_006,94.05278590884085
TRX_100204,ACC_018,4.828407129305402
TRX_100205,ACC_012,95.59139396975182
TRX_100206,ACC_007,93.60402836513842
TRX_100207,ACC_003,186.69190669720192
TRX_100208,ACC_001,162.47389608408932
TRX_100209,ACC_014,105.89411858280843
TRX_100210,ACC_006,16.581343228771868
TRX_100211,ACC_001,52.32863766395697
TRX_100212,ACC_003,42.99440081952753
TRX_100213,ACC_007,85.06756007927946
TRX_100214,ACC_017,5439.405023999352
TRX_100215,ACC_013,170.56758185036668
TRX_100216,ACC_005,239.98693285262806
TRX_100217,ACC_008,64.31791428070746
TRX_100218,ACC_017,4673.735847397351
TRX_100219,ACC_001,64.02598780185743
TRX_100220,ACC_013,213.05109605921197
TRX_100221,ACC_015,459.1563986526891
TRX_100222,ACC_007,371.27714341219274
TRX_100223,ACC_017,141.40058911907656
TRX_100224,ACC_010,206.15545244137584
TRX_100225,ACC_002,171.6933509172031
TRX_100226,ACC_008,83.71549288295132
TRX_100227,ACC_014,49.5290047942091
TRX_100228,ACC_002,180.02388480661807
TRX_100229,ACC_015,337.68413491854193
TRX_100230,ACC_010,29.331282204837507
TRX_100231,ACC_006,74.88641683324583
TRX_100232,ACC_010,301.18065009529937
TRX_100233,ACC_012,118.24530654940517
TRX_100234,ACC_018,2.592848270155308
TRX_100235,ACC_010,433.8931396582481
TRX_100236,ACC_017,610.0844841945895
TRX_100237,ACC_008,
TRX_100238,ACC_015,312.2076895273198
TRX_100239,ACC_017,42.97371139869887
TRX_100240,ACC_015,76.0689137263816
TRX_100241,ACC_009,47.22586989860944
TRX_100242,ACC_015,493.5884619804796
TRX_100243,ACC_001,101.09854269565875
TRX_100244,ACC_008,272.8482598245993
TRX_100245,ACC_016,590.9258507800542
TRX_100246,ACC_011,296.2362208396327
TRX_100247,ACC_009,184.55037697752334
TRX_100248,ACC_011,161.61209438493302
TRX_100249,ACC_016,406.5562807675966
