Invoice ID,Branch,Date,Sales,log_Sales,zscore_log_Sales,was_outlier,Sales_silver,is_treated
750-67-8428,Alex,1/5/2019,548.9715,6.30986645870209,0.9554290358259745,0,548.9715,0
226-31-3081,Giza,3/8/2019,80.22,4.397161522258152,-1.1257303052169636,0,80.22,0
631-41-3108,Alex,3/3/2019,340.5255,5.833422346794147,0.43702387301732726,0,340.5255,0
123-19-1176,Alex,1/27/2019,489.048,6.194503345490658,0.8299057436039481,0,489.048,0
373-73-7910,Alex,2/8/2019,634.3785,6.454220884309833,1.1124969429298193,0,634.3785,0
699-14-3026,Giza,3/25/2019,627.6165,6.443521372825845,1.1008551115917897,0,627.6165,0
355-53-5943,Alex,2/25/2019,433.692,6.074637734328736,0.6994834125970306,0,433.692,0
315-22-5665,Giza,2/24/2019,772.38,6.650770518999156,1.3263569588781035,0,772.38,0
665-32-9167,Alex,1/10/2019,76.146,4.345699730413866,-1.1817244038167516,0,76.146,0
692-92-5582,Cairo,2/20/2019,172.746,5.157594462597167,-0.29832504951370115,0,172.746,0
351-62-0822,Cairo,2/6/2019,60.816,4.124162230631283,-1.422772998547209,0,60.816,0
529-56-3974,Cairo,3/9/2019,107.142,4.683445178326946,-0.8142332762380992,0,107.142,0
365-64-0515,Alex,2/12/2019,246.4875,5.511360075682817,0.08659715996299386,0,246.4875,0
252-56-2699,Alex,2/7/2019,453.495,6.119186912456911,0.747956094624824,0,453.495,0
829-34-3910,Alex,3/29/2019,749.49,6.620726326534379,1.2936667354145668,0,749.49,0
299-46-1805,Cairo,1/15/2019,590.436,6.382553478071639,1.0345176952690507,0,590.436,0
656-95-9349,Alex,3/11/2019,506.6355,6.229763670352992,0.8682714910108037,0,506.6355,0
765-26-6951,Alex,1/1/2019,457.443,6.127835965538681,0.7573668810296355,0,457.443,0
329-62-1586,Alex,1/21/2019,172.2105,5.154507617847383,-0.30168375668434666,0,172.2105,0
319-50-3348,Cairo,3/11/2019,84.63,4.450035689038101,-1.0681994419890282,0,84.63,0
300-71-4605,Giza,2/25/2019,451.71,6.115251743882057,0.743674350649529,0,451.71,0
371-85-5789,Cairo,3/5/2019,277.137,5.628113798057155,0.21363353410057365,0,277.137,0
273-16-6619,Cairo,3/15/2019,69.72,4.258728418329388,-1.2763553921613973,0,69.72,0
636-48-8204,Alex,2/17/2019,181.44,5.2064213518435,-0.24519791280123077,0,181.44,0
549-59-1358,Alex,3/2/2019,279.1845,5.6354483147425665,0.22161401118359808,0,279.1845,0
227-03-5010,Alex,3/22/2019,441.756,6.093018828236845,0.7194833532865604,0,441.756,0
649-29-6775,Cairo,2/8/2019,35.196,3.5889486154888868,-2.005123570966305,0,35.196,0
189-17-4241,Alex,3/10/2019,184.107,5.220934036260394,-0.22940707744427205,0,184.107,0
145-94-9061,Cairo,1/25/2019,463.89,6.141800818463045,0.7725616366639592,0,463.89,0
848-62-7243,Alex,3/15/2019,235.2105,5.464723356627886,0.03585308457140997,0,235.2105,0
871-79-8483,Cairo,2/25/2019,494.1825,6.2049263814890745,0.8412467499017933,0,494.1825,0
149-71-6266,Cairo,1/28/2019,737.7615,6.6049751354350175,1.2765283164852286,0,737.7615,0
640-49-2076,Cairo,1/10/2019,703.752,6.55784596787597,1.2252484220110478,0,703.752,0
595-11-5460,Alex,3/15/2019,202.818,5.317227438772677,-0.12463299007676251,0,202.818,0
183-56-6882,Giza,2/6/2019,417.564,6.036829805358039,0.6583456902836551,0,417.564,0
232-16-2483,Giza,1/7/2019,71.526,4.283945118261254,-1.2489178247595738,0,71.526,0
129-29-8530,Alex,3/10/2019,328.755,5.798349954484741,0.3988626096270909,0,328.755,0
272-65-1806,Alex,1/15/2019,575.316,6.356656121374943,1.0063395247782836,0,575.316,0
333-73-7901,Giza,3/23/2019,461.328,6.136274595891649,0.7665487125029933,0,461.328,0
777-82-7220,Cairo,3/3/2019,253.008,5.537365762585538,0.11489320144153901,0,253.008,0
